id,team1,team2,wins1,wins2,week,date,url,duration,fb,ft,team1_kills,team1_towers,team1_dragons,team1_barons,team1_gold,team1_bans,team1_picks,team1_dragon_types,team2_kills,team2_towers,team2_dragons,team2_barons,team2_gold,team2_bans,team2_picks,team2_dragon_types
16,Leviatan,LOUD,0,1,2,2025-04-13,https://gol.gg/game/stats/65720/page-game/,29:02,2.0,2.0,5,4,0,0,47.9k,"Sejuani, Miss Fortune, Ashe, Skarner, Maokai","Gwen, Vi, Ahri, Jhin, Rell",N/A,17,10,4,1,60k,"Yone, Varus, Kalista, Kaisa, Draven","Rumble, Xin Zhao, Azir, Ezreal, Braum","Cloud, Cloud, Ocean, Infernal"
17,FURIA,paiN Gaming,1,0,2,2025-04-12,https://gol.gg/game/stats/65719/page-game/,28:58,2.0,1.0,20,10,2,1,61k,"Yone, Ivern, Ezreal, Jhin, Kaisa","Rumble, Skarner, Ahri, Ashe, Seraphine","Cloud, Ocean",5,0,2,0,43.8k,"Varus, Gwen, Miss Fortune, Braum, Alistar","Jayce, Maokai, Sylas, Corki, Rakan","Cloud, Mountain"
18,Leviatan,RED Canids,0,1,2,2025-04-12,https://gol.gg/game/stats/65718/page-game/,34:25,2.0,2.0,4,2,1,0,53k,"Jayce, Naafiri, Xin Zhao, Rell, Ambessa","Aurora, Sejuani, Corki, Miss Fortune, Alistar",Mountain,12,9,4,2,66.1k,"Gwen, Vi, Rumble, Poppy, Jax","Yone, Maokai, Sylas, Varus, Rakan","Mountain, Mountain, Chemtech, Hextech"
19,Isurus Estral,Fluxo,0,1,2,2025-04-12,https://gol.gg/game/stats/65717/page-game/,36:09,2.0,1.0,8,5,2,0,60.7k,"Naafiri, Ashe, Varus, Ezreal, Corki","Rumble, Vi, Ahri, Kaisa, Rakan","Cloud, Infernal",20,7,4,2,68.5k,"Gwen, Jayce, Kalista, Miss Fortune, Caitlyn","Aurora, Sejuani, Yone, Xayah, Poppy","Ocean, Infernal, Infernal, Infernal"
20,LOUD,Vivo Keyd Stars,0,1,2,2025-04-12,https://gol.gg/game/stats/65716/page-game/,32:02,1.0,1.0,6,3,0,0,52.8k,"Yone, Jayce, Gwen, Poppy, Aatrox","Renekton, Xin Zhao, Taliyah, Ashe, Alistar",N/A,16,10,4,1,62.7k,"Vi, Varus, Rumble, Ezreal, Kalista","Jax, Sejuani, Azir, Miss Fortune, Braum","Ocean, Ocean, Chemtech, Hextech"
21,LOUD,paiN Gaming,0,1,1,2025-04-06,https://gol.gg/game/stats/65453/page-game/,35:44,1.0,2.0,14,4,2,0,62.5k,"Yone, Maokai, Jayce, Kalista, Ashe","Rumble, Skarner, Azir, Miss Fortune, Alistar","Ocean, Mountain",16,9,3,1,69.6k,"Varus, Vi, Sejuani, Ahri, Taliyah","Gwen, Ivern, Corki, Ezreal, Braum","Cloud, Mountain, Mountain"
22,Leviatan,Fluxo,1,0,1,2025-04-06,https://gol.gg/game/stats/65452/page-game/,40:18,1.0,1.0,13,8,1,1,76.4k,"Varus, Naafiri, Vi, Orianna, Ahri","Jayce, Sejuani, Taliyah, Kalista, Neeko",N/A,18,4,5,1,75.9k,"Yone, Gwen, Skarner, Ezreal, Miss Fortune","Rumble, Nocturne, Aurora, Ashe, Karma","Infernal, Chemtech, Chemtech, Hextech"
23,Vivo Keyd Stars,RED Canids,1,0,1,2025-04-06,https://gol.gg/game/stats/65451/page-game/,34:24,2.0,1.0,24,10,4,2,69.9k,"Naafiri, Kalista, Jayce, Jax, Ahri","Gwen, Sejuani, Yone, Kaisa, Rakan","Mountain, Hextech, Hextech, Hextech",11,3,1,0,58.6k,"Rumble, Varus, Miss Fortune, Ashe, Jhin","Aurora, Vi, Akali, Ezreal, Alistar",Ocean
24,FURIA,Isurus Estral,1,0,1,2025-04-06,https://gol.gg/game/stats/65450/page-game/,26:01,1.0,1.0,16,9,2,0,51.9k,"Vi, Kalista, Rumble, Ashe, Ezreal","Camille, Skarner, Aurora, Miss Fortune, Alistar","Chemtech, Hextech",4,1,1,0,40.7k,"Varus, Gwen, Jayce, Taliyah, Sylas","Ambessa, Sejuani, Ahri, Kaisa, Rakan",Cloud
25,LOUD,RED Canids,0,1,1,2025-04-05,https://gol.gg/game/stats/65449/page-game/,30:31,1.0,1.0,5,4,0,0,51k,"Yone, Jayce, Gwen, Irelia, Skarner","Poppy, Vi, Ryze, Ezreal, Rakan",N/A,17,10,4,1,61.5k,"Jax, Rumble, Sejuani, Alistar, Camille","Ambessa, Naafiri, Taliyah, Varus, Rell","Cloud, Mountain, Hextech, Hextech"
26,Vivo Keyd Stars,Fluxo,1,0,1,2025-04-05,https://gol.gg/game/stats/65448/page-game/,41:37,1.0,2.0,19,10,3,1,78.8k,"Kalista, Naafiri, Aurora, Camille, Gnar","Aatrox, Vi, Ahri, Varus, Leona","Cloud, Chemtech, Chemtech",10,2,3,0,68.3k,"Gwen, Jayce, Rumble, Braum, Renekton","Ambessa, Xin Zhao, Taliyah, Miss Fortune, Alistar","Ocean, Chemtech, Chemtech"
27,FURIA,Leviatan,0,1,1,2025-04-05,https://gol.gg/game/stats/65447/page-game/,47:47,1.0,2.0,17,8,3,1,87.8k,"Vi, Rumble, Ivern, Ezreal, Kaisa","Volibear, Lillia, Corki, Varus, Braum","Cloud, Cloud, Cloud",20,8,4,2,89.5k,"Naafiri, Gwen, Jayce, Renekton, Camille","Ambessa, Sejuani, Yone, Ashe, Alistar","Cloud, Cloud, Mountain, Chemtech"
28,Isurus Estral,paiN Gaming,0,1,1,2025-04-05,https://gol.gg/game/stats/65446/page-game/,28:36,2.0,2.0,3,2,0,0,46.3k,"Jayce, Yone, Ryze, Ivern, Sejuani","Gwen, Skarner, Azir, Jhin, Leona",N/A,19,9,4,1,59.4k,"Varus, Kalista, Vi, Ashe, Ezreal","Rumble, Maokai, Corki, Miss Fortune, Alistar","Cloud, Cloud, Mountain, Chemtech"
